s1_name,patch_id,reference_map_id
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_38_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_41_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_41_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_41_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_41_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_79_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_42_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_42_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_43_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_79_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_43_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_43_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_43_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_43_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_43_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_43_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_44_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_44_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_44_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_44_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_78_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_79,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_79_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_45_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_45_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_46_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_46_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_46_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_46_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_46_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_46_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_46_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_46_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_46_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_88,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_88_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_47_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_47_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_48_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_78_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_48_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_48_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_48_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_48_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_48_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_49_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_49_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_49_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_49_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_49_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_49_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_49_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_49_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_49_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_50_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_50_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_50_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_50_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_50_86_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_51_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_51_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_51_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_51_86_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_52_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_78_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_52_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_52_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_86_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_52_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_52_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_53_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_78,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_78_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_53_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_80,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_80_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_53_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_53_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_53_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_90,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_53_90_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_54_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_81,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_81_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_54_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_84_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_54_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_54_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_86,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_86_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_54_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_87,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_87_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_54_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_89,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_54_89_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_55_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_55_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_55_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_55_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_55_83,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_55_83_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_55_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_55_85,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_55_85_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_56_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_82,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_82_reference_map
S1B_IW_GRDH_1SDV_20170612T165809_33UUP_56_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_84,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_56_84_reference_map
